Category,Coconino
Total_doses_administered,169693
Total_people_one_dose,86853
Total_people_complete,79220
total_pouluation,86853
Male-65 years and older,8970
Male-55-64 years,6065
Male-45-54 years,5526
Male-20-44 years,16205
Male-Less than 20 years,4176
Female-65 years and older,10169
Female-55-64 years,6867
Female-45-54 years,5667
Female-20-44 years,18462
Female-Less than 20 years,4489
"Black or African American, non-Hispanic",662
"Asian or Pacific Islander, non-Hispanic",1395
Hispanic or Latino,6264
Other Race,10506
Unknown,15352
"American Indian or Alaska Native, non-Hispanic",18935
"White, non-Hispanic",33739
