Category,La Paz
Total_doses_administered,15303
Total_people_one_dose,8149
Total_people_complete,7205
total_pouluation,8149
Male-65 years and older,2250
Male-55-64 years,581
Male-45-54 years,303
Male-20-44 years,608
Male-Less than 20 years,249
Female-65 years and older,2300
Female-55-64 years,687
Female-45-54 years,356
Female-20-44 years,541
Female-Less than 20 years,258
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",371
Other Race,1171
Hispanic or Latino,1177
Unknown,1893
"White, non-Hispanic",3420
