Category,Yavapai
Total_doses_administered,204540
Total_people_one_dose,109601
Total_people_complete,94266
total_pouluation,109601
Male-65 years and older,24154
Male-55-64 years,8732
Male-45-54 years,4767
Male-20-44 years,9515
Male-Less than 20 years,2224
Female-65 years and older,30057
Female-55-64 years,11134
Female-45-54 years,5669
Female-20-44 years,9663
Female-Less than 20 years,2538
"Black or African American, non-Hispanic",483
"American Indian or Alaska Native, non-Hispanic",1227
"Asian or Pacific Islander, non-Hispanic",1241
Hispanic or Latino,7255
Other Race,17106
Unknown,24945
"White, non-Hispanic",57344
