Category,Yavapai
Total_doses_administered,198780
Total_people_one_dose,113381
Total_people_complete,95503
Total_doses_ordered,174926
total_pouluation,232386
Male-65 years and older,24549
Male-55-64 years,8802
Male-45-54 years,5208
Male-20-44 years,10334
Male-Less than 20 years,2247
Female-65 years and older,30615
Female-55-64 years,11231
Female-45-54 years,6078
Female-20-44 years,10503
Female-Less than 20 years,2500
"Black or African American, non-Hispanic",636
"American Indian or Alaska Native, non-Hispanic",1172
"Asian or Pacific Islander, non-Hispanic",1491
Hispanic or Latino,7368
Other Race,17424
Unknown,27813
"White, non-Hispanic",57477
