Category,Cochise
Total_doses_administered,126994
Total_people_one_dose,70884
Total_people_complete,62538
Total_doses_ordered,94080
total_pouluation,130808
Male-65 years and older,10963
Male-55-64 years,5314
Male-45-54 years,3938
Male-20-44 years,10366
Male-Less than 20 years,2969
Female-65 years and older,12990
Female-55-64 years,6400
Female-45-54 years,4511
Female-20-44 years,10330
Female-Less than 20 years,3011
"American Indian or Alaska Native, non-Hispanic",342
"Asian or Pacific Islander, non-Hispanic",1339
"Black or African American, non-Hispanic",1358
Unknown,9528
Other Race,10744
Hispanic or Latino,17329
"White, non-Hispanic",30244
