Category,Gila
Total_doses_administered,56064
Total_people_one_dose,30422
Total_people_complete,27084
Total_doses_ordered,38060
total_pouluation,55159
Male-65 years and older,6016
Male-55-64 years,2699
Male-45-54 years,1691
Male-20-44 years,3401
Male-Less than 20 years,859
Female-65 years and older,6378
Female-55-64 years,3006
Female-45-54 years,1782
Female-20-44 years,3556
Female-Less than 20 years,972
"Black or African American, non-Hispanic",100
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1411
Other Race,5022
Unknown,5562
"American Indian or Alaska Native, non-Hispanic",6251
"White, non-Hispanic",11815
