Category,Arizona
Total_doses_administered,7643792
Total_people_complete,3679222
Total_doses_ordered,5387440
total_pouluation,7189020
Total_people_one_dose,4156293
Male-65 years and older,534129
Male-55-64 years,308161
Male-45-54 years,273123
Male-20-44 years,658121
Male-Less than 20 years,176676
Female-65 years and older,657611
Female-55-64 years,353967
Female-45-54 years,297701
Female-20-44 years,692443
Female-Less than 20 years,184696
"Black or African American, non-Hispanic",115987
"American Indian or Alaska Native, non-Hispanic",124990
"Asian or Pacific Islander, non-Hispanic",153783
Unknown,445929
Other Race,694351
Hispanic or Latino,718856
"White, non-Hispanic",1902397
