Category,Yuma
Total_doses_administered,229752
Total_people_one_dose,128920
Total_people_complete,109873
Total_doses_ordered,150998
total_pouluation,229957
Male-65 years and older,16268
Male-55-64 years,9164
Male-45-54 years,8187
Male-20-44 years,24538
Male-Less than 20 years,6235
Female-65 years and older,18379
Female-55-64 years,9598
Female-45-54 years,8420
Female-20-44 years,21126
Female-Less than 20 years,6589
"Asian or Pacific Islander, non-Hispanic",780
"Black or African American, non-Hispanic",785
"American Indian or Alaska Native, non-Hispanic",1689
Other Race,11550
"White, non-Hispanic",23265
Unknown,34146
Hispanic or Latino,56705
