Category,Coconino
Total_doses_administered,156930
Total_people_one_dose,86067
Total_people_complete,77253
Total_doses_ordered,109424
total_pouluation,147275
Male-65 years and older,8048
Male-55-64 years,6190
Male-45-54 years,5613
Male-20-44 years,17197
Male-Less than 20 years,3428
Female-65 years and older,9140
Female-55-64 years,6895
Female-45-54 years,5735
Female-20-44 years,19635
Female-Less than 20 years,4095
"Black or African American, non-Hispanic",646
"Asian or Pacific Islander, non-Hispanic",1308
Hispanic or Latino,6327
Other Race,9886
Unknown,17169
"American Indian or Alaska Native, non-Hispanic",18042
"White, non-Hispanic",32689
