Category,Apache
Total_doses_administered,34968
Total_people_one_dose,19503
Total_people_complete,13127
Total_doses_ordered,18500
total_pouluation,71808
Male-65 years and older,2005
Male-55-64 years,1358
Male-45-54 years,1082
Male-20-44 years,2653
Male-Less than 20 years,2594
Female-65 years and older,2126
Female-55-64 years,1488
Female-45-54 years,1079
Female-20-44 years,2457
Female-Less than 20 years,2651
"Asian or Pacific Islander, non-Hispanic",174
"Black or African American, non-Hispanic",300
Unknown,1066
Other Race,1329
Hispanic or Latino,1976
"White, non-Hispanic",3406
"American Indian or Alaska Native, non-Hispanic",11252
