Category,La Paz
Total_doses_administered,18444
Total_people_one_dose,10168
Total_people_complete,9067
Total_doses_ordered,19400
total_pouluation,22085
Male-65 years and older,3198
Male-55-64 years,709
Male-45-54 years,349
Male-20-44 years,614
Male-Less than 20 years,195
Female-65 years and older,3096
Female-55-64 years,867
Female-45-54 years,374
Female-20-44 years,530
Female-Less than 20 years,210
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",78
"American Indian or Alaska Native, non-Hispanic",250
Hispanic or Latino,1159
Other Race,1161
Unknown,2714
"White, non-Hispanic",4770
