,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,,617293,10577,40025,70245,21668,7967,6107,7680,894535,44133,25460,341392,102889,19165,89659,60801
Total_people_one_dose,1513613,401386,6486,26769,44969,14777,4953,3600,4747,573419,29589,16924,213499,67639,11355,54306,39195
Total_people_complete,870973,,,,,,,,,,,,,,,,
Total_doses_ordered,2287600,,,,,,,,,,,,,,,,
65 years and older,445038,,,,,,,,,,,,,,,,
55-64 years,138162,,,,,,,,,,,,,,,,
45-54 years,90386,,,,,,,,,,,,,,,,
20-44 years,189745,,,,,,,,,,,,,,,,
Less than 20 years,7342,,,,,,,,,,,,,,,,
65 years and older,16924,,,,,,,,,,,,,,,,
55-64 years,97947,,,,,,,,,,,,,,,,
45-54 years,59582,,,,,,,,,,,,,,,,
20-44 years,118536,,,,,,,,,,,,,,,,
Less than 20 years,4731,,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,3476,,,,,,,,,,,,,,,,
Black or African American,24171,,,,,,,,,,,,,,,,
Asian,34329,,,,,,,,,,,,,,,,
American Indian or Alaska Native,40437,,,,,,,,,,,,,,,,
Hispanic or Latino,129544,,,,,,,,,,,,,,,,
Other Race/Unknown,553439,,,,,,,,,,,,,,,,
White,728894,,,,,,,,,,,,,,,,
