Category,Maricopa
Total_doses_administered,5356281
Total_people_one_dose,2598618
Total_people_complete,2283761
total_pouluation,2598618
Male-65 years and older,282389
Male-55-64 years,186418
Male-45-54 years,180754
Male-20-44 years,431274
Male-Less than 20 years,139153
Female-65 years and older,353218
Female-55-64 years,209955
Female-45-54 years,196238
Female-20-44 years,462256
Female-Less than 20 years,142519
"American Indian or Alaska Native, non-Hispanic",50584
"Black or African American, non-Hispanic",100001
"Asian or Pacific Islander, non-Hispanic",130852
Unknown,173201
Other Race,422781
Hispanic or Latino,431822
"White, non-Hispanic",1289377
