Category,Yuma
Total_doses_administered,295841
Total_people_one_dose,151733
Total_people_complete,125279
total_pouluation,151733
Male-65 years and older,15811
Male-55-64 years,10168
Male-45-54 years,9052
Male-20-44 years,27432
Male-Less than 20 years,11573
Female-65 years and older,18331
Female-55-64 years,10872
Female-45-54 years,9962
Female-20-44 years,25944
Female-Less than 20 years,12033
"Black or African American, non-Hispanic",806
"American Indian or Alaska Native, non-Hispanic",1145
"Asian or Pacific Islander, non-Hispanic",1178
Other Race,17840
Unknown,28405
"White, non-Hispanic",33320
Hispanic or Latino,69039
