Category,Pinal
Total_doses_administered,494984
Total_people_one_dose,246779
Total_people_complete,217441
total_pouluation,246779
Male-65 years and older,36265
Male-55-64 years,18117
Male-45-54 years,16592
Male-20-44 years,37704
Male-Less than 20 years,11817
Female-65 years and older,41796
Female-55-64 years,20447
Female-45-54 years,16878
Female-20-44 years,34741
Female-Less than 20 years,11674
"Asian or Pacific Islander, non-Hispanic",5029
"Black or African American, non-Hispanic",8983
"American Indian or Alaska Native, non-Hispanic",9433
Unknown,29221
Other Race,30641
Hispanic or Latino,39705
"White, non-Hispanic",123767
