Category,Apache
Total_doses_administered,57590
Total_people_one_dose,28436
Total_people_complete,22356
total_pouluation,28436
Male-65 years and older,2748
Male-55-64 years,2001
Male-45-54 years,1599
Male-20-44 years,3756
Male-Less than 20 years,3790
Female-65 years and older,3308
Female-55-64 years,2137
Female-45-54 years,1565
Female-20-44 years,3669
Female-Less than 20 years,3855
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",129
Hispanic or Latino,561
Unknown,1100
Other Race,1111
"White, non-Hispanic",3599
"American Indian or Alaska Native, non-Hispanic",21877
