Category,Mohave
Total_doses_administered,176897
Total_people_one_dose,88458
Total_people_complete,75424
total_pouluation,88458
Male-65 years and older,20478
Male-55-64 years,8114
Male-45-54 years,4210
Male-20-44 years,7354
Male-Less than 20 years,1702
Female-65 years and older,22745
Female-55-64 years,9449
Female-45-54 years,4775
Female-20-44 years,7543
Female-Less than 20 years,1911
"Black or African American, non-Hispanic",593
"American Indian or Alaska Native, non-Hispanic",718
"Asian or Pacific Islander, non-Hispanic",1323
Hispanic or Latino,6962
Unknown,11458
Other Race,14222
"White, non-Hispanic",53182
