Category,Yavapai
Total_doses_administered,235732
Total_people_one_dose,115489
Total_people_complete,97726
total_pouluation,115489
Male-65 years and older,25522
Male-55-64 years,9065
Male-45-54 years,4977
Male-20-44 years,10030
Male-Less than 20 years,2768
Female-65 years and older,31241
Female-55-64 years,11502
Female-45-54 years,5932
Female-20-44 years,10263
Female-Less than 20 years,3041
"Black or African American, non-Hispanic",539
"Asian or Pacific Islander, non-Hispanic",1391
"American Indian or Alaska Native, non-Hispanic",1408
Hispanic or Latino,7865
Other Race,17004
Unknown,19337
"White, non-Hispanic",67945
