Category,Greenlee
Total_doses_administered,8872
Total_people_one_dose,4269
Total_people_complete,3717
total_pouluation,4269
Male-65 years and older,509
Male-55-64 years,367
Male-45-54 years,323
Male-20-44 years,774
Male-Less than 20 years,196
Female-65 years and older,509
Female-55-64 years,316
Female-45-54 years,322
Female-20-44 years,749
Female-Less than 20 years,202
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",50
Other Race,86
"American Indian or Alaska Native, non-Hispanic",116
Unknown,307
"White, non-Hispanic",1752
Hispanic or Latino,1915
