Category,Santa Cruz
Total_doses_administered,104516
Total_people_one_dose,54452
Total_people_complete,43802
total_pouluation,54452
Male-65 years and older,4640
Male-55-64 years,3228
Male-45-54 years,3366
Male-20-44 years,8941
Male-Less than 20 years,5892
Female-65 years and older,5605
Female-55-64 years,3510
Female-45-54 years,3643
Female-20-44 years,9224
Female-Less than 20 years,6320
"Black or African American, non-Hispanic",56
"American Indian or Alaska Native, non-Hispanic",56
"Asian or Pacific Islander, non-Hispanic",184
Other Race,3442
Unknown,3679
"White, non-Hispanic",7418
Hispanic or Latino,39617
