Category,Graham
Total_doses_administered,42062
Total_people_one_dose,20728
Total_people_complete,18338
total_pouluation,20728
Male-65 years and older,2376
Male-55-64 years,1572
Male-45-54 years,1429
Male-20-44 years,3531
Male-Less than 20 years,1087
Female-65 years and older,2879
Female-55-64 years,1712
Female-45-54 years,1406
Female-20-44 years,3556
Female-Less than 20 years,1168
"Asian or Pacific Islander, non-Hispanic",83
"Black or African American, non-Hispanic",89
Other Race,1296
Hispanic or Latino,3707
Unknown,4044
"American Indian or Alaska Native, non-Hispanic",5138
"White, non-Hispanic",6371
