Category,Cochise
Total_doses_administered,193685
Total_people_one_dose,91795
Total_people_complete,76246
total_pouluation,91795
Male-65 years and older,12085
Male-55-64 years,6034
Male-45-54 years,4849
Male-20-44 years,13120
Male-Less than 20 years,7349
Female-65 years and older,14107
Female-55-64 years,7129
Female-45-54 years,5455
Female-20-44 years,13909
Female-Less than 20 years,7651
"American Indian or Alaska Native, non-Hispanic",394
"Asian or Pacific Islander, non-Hispanic",1600
"Black or African American, non-Hispanic",1723
Unknown,11155
Other Race,12734
Hispanic or Latino,28833
"White, non-Hispanic",35356
