Category,Gila
Total_doses_administered,61526
Total_people_one_dose,27407
Total_people_complete,24110
total_pouluation,27407
Male-65 years and older,6007
Male-55-64 years,2262
Male-45-54 years,1294
Male-20-44 years,2606
Male-Less than 20 years,946
Female-65 years and older,6379
Female-55-64 years,2665
Female-45-54 years,1444
Female-20-44 years,2762
Female-Less than 20 years,987
"Black or African American, non-Hispanic",98
"Asian or Pacific Islander, non-Hispanic",226
Hispanic or Latino,1606
"American Indian or Alaska Native, non-Hispanic",2992
Other Race,4422
Unknown,4521
"White, non-Hispanic",13542
