Category,Santa Cruz
Total_doses_administered,133452
Total_people_one_dose,67399
Total_people_complete,51080
total_pouluation,67399
Male-65 years and older,4844
Male-55-64 years,3580
Male-45-54 years,3868
Male-20-44 years,10245
Male-Less than 20 years,9787
Female-65 years and older,5914
Female-55-64 years,4048
Female-45-54 years,4299
Female-20-44 years,11033
Female-Less than 20 years,9647
"American Indian or Alaska Native, non-Hispanic",55
"Black or African American, non-Hispanic",62
"Asian or Pacific Islander, non-Hispanic",188
Other Race,3693
Unknown,7170
"White, non-Hispanic",7699
Hispanic or Latino,48532
