Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,10928057,79161,215858,193685,42855,10315,61526,19251,6363275,204514,121889,546129,1761230,133452,285277,360148
Total_people_complete,4266893,30262,83852,76246,17242,4075,24110,7807,2512529,80768,47520,220513,674899,51080,110111,141277
total_pouluation,7189020,35088,94424,91795,19290,4518,27407,9363,2845740,95275,55699,249900,778684,67399,129268,174986
Total_people_one_dose,4990771,35088,94424,91795,19290,4518,27407,9363,2845740,95275,55699,249900,778684,67399,129268,174986
Male-65 years and older,595390,3142,8491,12085,2003,518,6007,2533,300270,22000,7791,39308,92765,4844,28616,18192
Male-55-64 years,345122,2344,6066,6034,1367,389,2262,656,198144,8587,3930,17553,50195,3580,10084,11349
Male-45-54 years,313609,1915,5807,4849,1318,337,1294,336,194020,4527,3015,15378,44232,3868,5528,9891
Male-20-44 years,792850,4849,17656,13120,3276,812,2606,720,469985,8112,6862,37154,119873,10245,11398,31058
Male-Less than 20 years,319823,4817,6940,7349,1312,247,946,420,179834,2108,5483,13016,53982,9787,3348,15295
Female-65 years and older,722115,3809,9505,14107,2483,525,6379,2505,374494,24012,8835,44845,119274,5914,34533,20774
Female-55-64 years,391930,2550,6741,7129,1513,318,2665,767,222019,9948,4451,20068,59839,4048,12701,12150
Female-45-54 years,337406,1967,5780,5455,1247,335,1444,389,209589,5066,3045,15667,49867,4299,6580,10853
Female-20-44 years,828413,4762,20147,13909,3321,780,2762,632,502087,8400,6724,33407,131985,11033,11554,28963
Female-Less than 20 years,324282,4922,7111,7651,1439,255,987,387,181076,2333,5524,12892,55048,9647,3707,15748
"Black or African American, non-Hispanic",154200,71,831,1723,84,55,98,42,113091,678,232,9326,18223,62,658,919
"Asian or Pacific Islander, non-Hispanic",191809,166,1745,1600,67,51,226,92,145300,1484,421,4996,23350,188,1671,1291
"American Indian or Alaska Native, non-Hispanic",225165,27767,24233,394,5870,127,2992,568,56048,799,26336,10719,16614,55,1556,1270
Unknown,449189,1230,11280,11155,3820,301,4521,1948,192865,11726,2614,30218,66941,7170,19009,31000
Other Race,695136,1248,8099,12734,868,98,4422,1216,446121,14897,6543,29687,94906,3693,19084,21455
Hispanic or Latino,980228,667,7718,28833,2878,2045,1606,1419,502831,7978,2852,42674,203506,48532,9344,81044
"White, non-Hispanic",2295044,3939,40518,35356,5703,1841,13542,4078,1389484,57713,16701,122280,355144,7699,77946,38007
