Category,Yavapai
Total_doses_administered,285277
Total_people_one_dose,129268
Total_people_complete,110111
total_pouluation,129268
Male-65 years and older,28616
Male-55-64 years,10084
Male-45-54 years,5528
Male-20-44 years,11398
Male-Less than 20 years,3348
Female-65 years and older,34533
Female-55-64 years,12701
Female-45-54 years,6580
Female-20-44 years,11554
Female-Less than 20 years,3707
"Black or African American, non-Hispanic",658
"American Indian or Alaska Native, non-Hispanic",1556
"Asian or Pacific Islander, non-Hispanic",1671
Hispanic or Latino,9344
Unknown,19009
Other Race,19084
"White, non-Hispanic",77946
