Category,Apache
Total_doses_administered,79161
Total_people_one_dose,35088
Total_people_complete,30262
total_pouluation,35088
Male-65 years and older,3142
Male-55-64 years,2344
Male-45-54 years,1915
Male-20-44 years,4849
Male-Less than 20 years,4817
Female-65 years and older,3809
Female-55-64 years,2550
Female-45-54 years,1967
Female-20-44 years,4762
Female-Less than 20 years,4922
"Black or African American, non-Hispanic",71
"Asian or Pacific Islander, non-Hispanic",166
Hispanic or Latino,667
Unknown,1230
Other Race,1248
"White, non-Hispanic",3939
"American Indian or Alaska Native, non-Hispanic",27767
