Category,Graham
Total_doses_administered,42855
Total_people_one_dose,19290
Total_people_complete,17242
total_pouluation,19290
Male-65 years and older,2003
Male-55-64 years,1367
Male-45-54 years,1318
Male-20-44 years,3276
Male-Less than 20 years,1312
Female-65 years and older,2483
Female-55-64 years,1513
Female-45-54 years,1247
Female-20-44 years,3321
Female-Less than 20 years,1439
"Asian or Pacific Islander, non-Hispanic",67
"Black or African American, non-Hispanic",84
Other Race,868
Hispanic or Latino,2878
Unknown,3820
"White, non-Hispanic",5703
"American Indian or Alaska Native, non-Hispanic",5870
