Category,Coconino
Total_doses_administered,215858
Total_people_one_dose,94424
Total_people_complete,83852
total_pouluation,94424
Male-65 years and older,8491
Male-55-64 years,6066
Male-45-54 years,5807
Male-20-44 years,17656
Male-Less than 20 years,6940
Female-65 years and older,9505
Female-55-64 years,6741
Female-45-54 years,5780
Female-20-44 years,20147
Female-Less than 20 years,7111
"Black or African American, non-Hispanic",831
"Asian or Pacific Islander, non-Hispanic",1745
Hispanic or Latino,7718
Other Race,8099
Unknown,11280
"American Indian or Alaska Native, non-Hispanic",24233
"White, non-Hispanic",40518
