Category,Yuma
Total_doses_administered,360148
Total_people_one_dose,174986
Total_people_complete,141277
total_pouluation,174986
Male-65 years and older,18192
Male-55-64 years,11349
Male-45-54 years,9891
Male-20-44 years,31058
Male-Less than 20 years,15295
Female-65 years and older,20774
Female-55-64 years,12150
Female-45-54 years,10853
Female-20-44 years,28963
Female-Less than 20 years,15748
"Black or African American, non-Hispanic",919
"American Indian or Alaska Native, non-Hispanic",1270
"Asian or Pacific Islander, non-Hispanic",1291
Other Race,21455
Unknown,31000
"White, non-Hispanic",38007
Hispanic or Latino,81044
