Category,Maricopa
Total_doses_administered,6363275
Total_people_one_dose,2845740
Total_people_complete,2512529
total_pouluation,2845740
Male-65 years and older,300270
Male-55-64 years,198144
Male-45-54 years,194020
Male-20-44 years,469985
Male-Less than 20 years,179834
Female-65 years and older,374494
Female-55-64 years,222019
Female-45-54 years,209589
Female-20-44 years,502087
Female-Less than 20 years,181076
"American Indian or Alaska Native, non-Hispanic",56048
"Black or African American, non-Hispanic",113091
"Asian or Pacific Islander, non-Hispanic",145300
Unknown,192865
Other Race,446121
Hispanic or Latino,502831
"White, non-Hispanic",1389484
