Category,Apache
Total_doses_administered,35247
Total_people_one_dose,19701
Total_people_complete,13209
Total_doses_ordered,18600
total_pouluation,71808
Male-65 years and older,2031
Male-55-64 years,1381
Male-45-54 years,1089
Male-20-44 years,2690
Male-Less than 20 years,2606
Female-65 years and older,2167
Female-55-64 years,1497
Female-45-54 years,1090
Female-20-44 years,2479
Female-Less than 20 years,2661
"Asian or Pacific Islander, non-Hispanic",174
"Black or African American, non-Hispanic",300
Unknown,1079
Other Race,1331
Hispanic or Latino,1988
"White, non-Hispanic",3439
"American Indian or Alaska Native, non-Hispanic",11390
