Category,Mohave
Total_doses_administered,166424
Total_people_one_dose,94629
Total_people_complete,79338
Total_doses_ordered,136460
total_pouluation,216985
Male-65 years and older,22342
Male-55-64 years,8826
Male-45-54 years,4645
Male-20-44 years,7942
Male-Less than 20 years,1539
Female-65 years and older,24877
Female-55-64 years,10252
Female-45-54 years,4962
Female-20-44 years,7419
Female-Less than 20 years,1660
"Black or African American, non-Hispanic",685
"American Indian or Alaska Native, non-Hispanic",989
"Asian or Pacific Islander, non-Hispanic",1370
Hispanic or Latino,6943
Unknown,16144
Other Race,16394
"White, non-Hispanic",52104
