Category,Yavapai
Total_doses_administered,199457
Total_people_one_dose,113761
Total_people_complete,95883
Total_doses_ordered,174846
total_pouluation,232386
Male-65 years and older,24660
Male-55-64 years,8815
Male-45-54 years,5225
Male-20-44 years,10373
Male-Less than 20 years,2252
Female-65 years and older,30732
Female-55-64 years,11237
Female-45-54 years,6095
Female-20-44 years,10554
Female-Less than 20 years,2504
"Black or African American, non-Hispanic",638
"American Indian or Alaska Native, non-Hispanic",1184
"Asian or Pacific Islander, non-Hispanic",1494
Hispanic or Latino,7391
Other Race,17505
Unknown,27847
"White, non-Hispanic",57702
