Category,Maricopa
Total_doses_administered,3342429
Total_people_one_dose,1892303
Total_people_complete,1648576
Total_doses_ordered,1701453
total_pouluation,4367835
Male-65 years and older,195911
Male-55-64 years,134372
Male-45-54 years,136072
Male-20-44 years,323541
Male-Less than 20 years,91352
Female-65 years and older,251532
Female-55-64 years,154484
Female-45-54 years,149840
Female-20-44 years,349628
Female-Less than 20 years,93639
"American Indian or Alaska Native, non-Hispanic",41255
"Black or African American, non-Hispanic",74271
"Asian or Pacific Islander, non-Hispanic",85602
Unknown,185656
Other Race,289081
Hispanic or Latino,352803
"White, non-Hispanic",863635
