Category,Navajo
Total_doses_administered,81780
Total_people_one_dose,45982
Total_people_complete,38904
Total_doses_ordered,44540
total_pouluation,112825
Male-65 years and older,7269
Male-55-64 years,3742
Male-45-54 years,2704
Male-20-44 years,5766
Male-Less than 20 years,3241
Female-65 years and older,7979
Female-55-64 years,4026
Female-45-54 years,2689
Female-20-44 years,5135
Female-Less than 20 years,3395
"Black or African American, non-Hispanic",238
"Asian or Pacific Islander, non-Hispanic",429
Hispanic or Latino,2406
Unknown,2485
Other Race,8638
"White, non-Hispanic",15587
"American Indian or Alaska Native, non-Hispanic",16199
