Category,Gila
Total_doses_administered,56278
Total_people_one_dose,30528
Total_people_complete,27186
Total_doses_ordered,38260
total_pouluation,55159
Male-65 years and older,6035
Male-55-64 years,2699
Male-45-54 years,1701
Male-20-44 years,3420
Male-Less than 20 years,863
Female-65 years and older,6392
Female-55-64 years,3012
Female-45-54 years,1788
Female-20-44 years,3570
Female-Less than 20 years,985
"Black or African American, non-Hispanic",101
"Asian or Pacific Islander, non-Hispanic",264
Hispanic or Latino,1423
Other Race,5038
Unknown,5569
"American Indian or Alaska Native, non-Hispanic",6275
"White, non-Hispanic",11858
