Category,Maricopa
Total_doses_administered,4896563
Total_people_one_dose,2475771
Total_people_complete,2232584
total_pouluation,2475771
Male-65 years and older,275338
Male-55-64 years,181788
Male-45-54 years,175424
Male-20-44 years,415427
Male-Less than 20 years,111591
Female-65 years and older,344893
Female-55-64 years,205051
Female-45-54 years,190967
Female-20-44 years,445175
Female-Less than 20 years,115706
"American Indian or Alaska Native, non-Hispanic",45544
"Black or African American, non-Hispanic",89606
"Asian or Pacific Islander, non-Hispanic",117766
Unknown,195399
Hispanic or Latino,400167
Other Race,446598
"White, non-Hispanic",1180691
