Category,value
Hospitalizations,80364
Day,
Day_pct,
Apache,1101
Cochise,897
Coconino,1664
Gila,856
Graham,410
Greenlee,58
La Paz,309
Maricopa,50657
Mohave,2688
Navajo,2079
Pima,8711
Pinal,5346
Santa Cruz,621
Yavapai,2436
Yuma,2531
0_5,
Less than 20 years,3011
20-44 years,17143
45-54 years,11395
55-64 years,14730
65 years and older,34042
Male,42167
Female,38154
Missing,
"White, non-Hispanic",38515
Hispanic or Latino,25261
"American Indian or Alaska Native, non-Hispanic",5746
"Black or African American, non-Hispanic",3971
"Asian or Pacific Islander, non-Hispanic",1340
Other Race,3478
