Category,Navajo
Total_doses_administered,84049
Total_people_one_dose,44120
Total_people_complete,38283
total_pouluation,44120
Male-65 years and older,6932
Male-55-64 years,3387
Male-45-54 years,2482
Male-20-44 years,5337
Male-Less than 20 years,3221
Female-65 years and older,7824
Female-55-64 years,3867
Female-45-54 years,2486
Female-20-44 years,5173
Female-Less than 20 years,3376
"Black or African American, non-Hispanic",184
"Asian or Pacific Islander, non-Hispanic",356
Hispanic or Latino,2258
Unknown,2670
Other Race,7771
"White, non-Hispanic",13763
"American Indian or Alaska Native, non-Hispanic",17118
