Category,Apache
Total_doses_administered,38851
Total_people_one_dose,21404
Total_people_complete,16692
total_pouluation,21404
Male-65 years and older,2266
Male-55-64 years,1557
Male-45-54 years,1183
Male-20-44 years,2790
Male-Less than 20 years,2706
Female-65 years and older,2661
Female-55-64 years,1652
Female-45-54 years,1191
Female-20-44 years,2611
Female-Less than 20 years,2779
"Black or African American, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",110
Hispanic or Latino,486
Other Race,1233
Unknown,1515
"White, non-Hispanic",3246
"American Indian or Alaska Native, non-Hispanic",14767
