Category,La Paz
Total_doses_administered,15380
Total_people_one_dose,8167
Total_people_complete,7212
total_pouluation,8167
Male-65 years and older,2256
Male-55-64 years,583
Male-45-54 years,302
Male-20-44 years,611
Male-Less than 20 years,250
Female-65 years and older,2304
Female-55-64 years,686
Female-45-54 years,356
Female-20-44 years,545
Female-Less than 20 years,258
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",372
Other Race,1173
Hispanic or Latino,1181
Unknown,1895
"White, non-Hispanic",3429
