Category,Arizona
Total_doses_administered,8297582
Total_people_complete,375017
total_pouluation,7189020
Total_people_one_dose,4264382
Male-65 years and older,534581
Male-55-64 years,312186
Male-45-54 years,281562
Male-20-44 years,691477
Male-Less than 20 years,189326
Female-65 years and older,655145
Female-55-64 years,356272
Female-45-54 years,304453
Female-20-44 years,722157
Female-Less than 20 years,197677
"Black or African American, non-Hispanic",120968
"Asian or Pacific Islander, non-Hispanic",154286
"American Indian or Alaska Native, non-Hispanic",161271
Unknown,475201
Other Race,681880
Hispanic or Latino,755688
"White, non-Hispanic",1915088
