Category,Graham
Total_doses_administered,38295
Total_people_one_dose,19732
Total_people_complete,17833
total_pouluation,19732
Male-65 years and older,2333
Male-55-64 years,1541
Male-45-54 years,1391
Male-20-44 years,3407
Male-Less than 20 years,846
Female-65 years and older,2807
Female-55-64 years,1679
Female-45-54 years,1360
Female-20-44 years,3410
Female-Less than 20 years,946
"Black or African American, non-Hispanic",80
"Asian or Pacific Islander, non-Hispanic",90
Other Race,1527
Hispanic or Latino,3461
Unknown,4208
"American Indian or Alaska Native, non-Hispanic",4731
"White, non-Hispanic",5635
