Category,Coconino
Total_doses_administered,171853
Total_people_one_dose,87171
Total_people_complete,79425
total_pouluation,87171
Male-65 years and older,9015
Male-55-64 years,6085
Male-45-54 years,5545
Male-20-44 years,16269
Male-Less than 20 years,4183
Female-65 years and older,10211
Female-55-64 years,6889
Female-45-54 years,5681
Female-20-44 years,18538
Female-Less than 20 years,4498
"Black or African American, non-Hispanic",667
"Asian or Pacific Islander, non-Hispanic",1397
Hispanic or Latino,6307
Other Race,10393
Unknown,15337
"American Indian or Alaska Native, non-Hispanic",19000
"White, non-Hispanic",34070
