Category,Santa Cruz
Total_doses_administered,55132
Total_people_one_dose,31301
Total_people_complete,25145
Total_doses_ordered,47140
total_pouluation,53161
Male-65 years and older,3433
Male-55-64 years,2381
Male-45-54 years,2641
Male-20-44 years,5577
Male-Less than 20 years,1471
Female-65 years and older,4171
Female-55-64 years,2450
Female-45-54 years,2567
Female-20-44 years,5057
Female-Less than 20 years,1484
"American Indian or Alaska Native, non-Hispanic",0.0003833743330884
"Black or African American, non-Hispanic",0.0006709050829047
"Asian or Pacific Islander, non-Hispanic",0.0025877767483467
Other Race,0.0366441966710329
Unknown,0.0661001245966583
"White, non-Hispanic",0.134915817386026
Hispanic or Latino,0.7586978051819432
