Category,La Paz
Total_doses_administered,16123
Total_people_one_dose,8918
Total_people_complete,7760
Total_doses_ordered,19000
total_pouluation,22085
Male-65 years and older,3000
Male-55-64 years,632
Male-45-54 years,277
Male-20-44 years,420
Male-Less than 20 years,68
Female-65 years and older,2912
Female-55-64 years,806
Female-45-54 years,312
Female-20-44 years,400
Female-Less than 20 years,77
"Black or African American, non-Hispanic",0.0021305225386858
"Asian or Pacific Islander, non-Hispanic",0.0053823727293115
Other Race,0.0127831352321148
"American Indian or Alaska Native, non-Hispanic",0.0130074007625028
Hispanic or Latino,0.0959856470060552
Unknown,0.3842789863198027
"White, non-Hispanic",0.4864319354115272
