Category,Apache
Total_doses_administered,18897
Total_people_one_dose,11326
Total_people_complete,8467
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1638
Male-55-64 years,855
Male-45-54 years,518
Male-20-44 years,930
Male-Less than 20 years,1592
Female-65 years and older,1683
Female-55-64 years,954
Female-45-54 years,573
Female-20-44 years,890
Female-Less than 20 years,1688
"Asian or Pacific Islander, non-Hispanic",0.011389722761787
"Black or African American, non-Hispanic",0.0157160515627759
Other Race,0.0436164577079287
Hispanic or Latino,0.1005650715168639
Unknown,0.1676673141444464
"White, non-Hispanic",0.2125198657955148
"American Indian or Alaska Native, non-Hispanic",0.4485255165106834
