Category,Greenlee
Total_doses_administered,8102
Total_people_one_dose,4580
Total_people_complete,4038
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,525
Male-55-64 years,576
Male-45-54 years,470
Male-20-44 years,949
Male-Less than 20 years,43
Female-65 years and older,512
Female-55-64 years,403
Female-45-54 years,358
Female-20-44 years,701
Female-Less than 20 years,41
"Black or African American, non-Hispanic",0.0093886462882096
"Asian or Pacific Islander, non-Hispanic",0.009825327510917
"American Indian or Alaska Native, non-Hispanic",0.015938864628821
Other Race,0.0168122270742358
Unknown,0.0943231441048035
"White, non-Hispanic",0.4091703056768559
Hispanic or Latino,0.4445414847161573
