Category,Coconino
Total_doses_administered,147734
Total_people_one_dose,81097
Total_people_complete,72883
Total_doses_ordered,97568
total_pouluation,147275
Male-65 years and older,7617
Male-55-64 years,5940
Male-45-54 years,5337
Male-20-44 years,16030
Male-Less than 20 years,2943
Female-65 years and older,8722
Female-55-64 years,6671
Female-45-54 years,5511
Female-20-44 years,18552
Female-Less than 20 years,3697
"Black or African American, non-Hispanic",580
"Asian or Pacific Islander, non-Hispanic",1202
Hispanic or Latino,5582
Other Race,9412
Unknown,16786
"American Indian or Alaska Native, non-Hispanic",16813
"White, non-Hispanic",30722
