Category,Navajo
Total_doses_administered,63321
Total_people_one_dose,35918
Total_people_complete,30861
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6256
Male-55-64 years,2885
Male-45-54 years,1985
Male-20-44 years,4047
Male-Less than 20 years,2635
Female-65 years and older,6736
Female-55-64 years,3178
Female-45-54 years,2035
Female-20-44 years,3395
Female-Less than 20 years,2733
"Black or African American, non-Hispanic",205
"Asian or Pacific Islander, non-Hispanic",373
Unknown,1932
Hispanic or Latino,2083
Other Race,7746
"American Indian or Alaska Native, non-Hispanic",9805
"White, non-Hispanic",13774
