Category,Apache
Total_doses_administered,31328
Total_people_one_dose,17531
Total_people_complete,11503
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1898
Male-55-64 years,1253
Male-45-54 years,959
Male-20-44 years,2253
Male-Less than 20 years,2321
Female-65 years and older,2008
Female-55-64 years,1388
Female-45-54 years,947
Female-20-44 years,2080
Female-Less than 20 years,2414
"Asian or Pacific Islander, non-Hispanic",161
"Black or African American, non-Hispanic",263
Unknown,981
Other Race,1185
Hispanic or Latino,1679
"White, non-Hispanic",3094
"American Indian or Alaska Native, non-Hispanic",10168
