Category,Arizona
Total_doses_administered,6972997
Total_people_complete,3381229
Total_doses_ordered,5255270
total_pouluation,7189020
Total_people_one_dose,3841162
Male-65 years and older,511806
Male-55-64 years,292733
Male-45-54 years,252014
Male-20-44 years,588818
Male-Less than 20 years,148115
Female-65 years and older,631522
Female-55-64 years,338126
Female-45-54 years,277506
Female-20-44 years,623976
Female-Less than 20 years,157186
"Black or African American, non-Hispanic",103720
"American Indian or Alaska Native, non-Hispanic",107878
"Asian or Pacific Islander, non-Hispanic",146516
Unknown,414690
Hispanic or Latino,631075
Other Race,651595
"White, non-Hispanic",1785688
