Category,Mohave
Total_doses_administered,151436
Total_people_one_dose,87115
Total_people_complete,71915
Total_doses_ordered,126950
total_pouluation,216985
Male-65 years and older,21271
Male-55-64 years,8235
Male-45-54 years,4155
Male-20-44 years,6866
Male-Less than 20 years,1095
Female-65 years and older,23704
Female-55-64 years,9630
Female-45-54 years,4419
Female-20-44 years,6334
Female-Less than 20 years,1252
"Black or African American, non-Hispanic",595
"American Indian or Alaska Native, non-Hispanic",870
"Asian or Pacific Islander, non-Hispanic",1252
Hispanic or Latino,5996
Unknown,14774
Other Race,15641
"White, non-Hispanic",47987
