Category,Yuma
Total_doses_administered,204661
Total_people_one_dose,115760
Total_people_complete,98400
Total_doses_ordered,141758
total_pouluation,229957
Male-65 years and older,15774
Male-55-64 years,8668
Male-45-54 years,7534
Male-20-44 years,21406
Male-Less than 20 years,4303
Female-65 years and older,17848
Female-55-64 years,9149
Female-45-54 years,7789
Female-20-44 years,18325
Female-Less than 20 years,4627
"Black or African American, non-Hispanic",648
"Asian or Pacific Islander, non-Hispanic",706
"American Indian or Alaska Native, non-Hispanic",1515
Other Race,10307
"White, non-Hispanic",21060
Unknown,32995
Hispanic or Latino,48529
