Category,Maricopa
Total_doses_administered,2920380
Total_people_one_dose,1670642
Total_people_complete,1438227
Total_doses_ordered,1587440
total_pouluation,4367835
Male-65 years and older,177668
Male-55-64 years,123775
Male-45-54 years,121285
Male-20-44 years,276954
Male-Less than 20 years,72578
Female-65 years and older,230738
Female-55-64 years,143244
Female-45-54 years,135323
Female-20-44 years,301823
Female-Less than 20 years,75497
"American Indian or Alaska Native, non-Hispanic",35565
"Black or African American, non-Hispanic",63890
"Asian or Pacific Islander, non-Hispanic",79428
Unknown,163554
Other Race,256795
Hispanic or Latino,297052
"White, non-Hispanic",774358
