Category,Gila
Total_doses_administered,51042
Total_people_one_dose,28482
Total_people_complete,25176
Total_doses_ordered,36710
total_pouluation,55159
Male-65 years and older,5823
Male-55-64 years,2599
Male-45-54 years,1585
Male-20-44 years,3044
Male-Less than 20 years,672
Female-65 years and older,6181
Female-55-64 years,2887
Female-45-54 years,1686
Female-20-44 years,3163
Female-Less than 20 years,782
"Black or African American, non-Hispanic",93
"Asian or Pacific Islander, non-Hispanic",256
Hispanic or Latino,1256
Other Race,4749
Unknown,5328
"American Indian or Alaska Native, non-Hispanic",5616
"White, non-Hispanic",11184
