Category,Gila
Total_doses_administered,61494
Total_people_one_dose,27406
Total_people_complete,24099
total_pouluation,27406
Male-65 years and older,6002
Male-55-64 years,2263
Male-45-54 years,1297
Male-20-44 years,2605
Male-Less than 20 years,946
Female-65 years and older,6378
Female-55-64 years,2665
Female-45-54 years,1445
Female-20-44 years,2762
Female-Less than 20 years,988
"Black or African American, non-Hispanic",99
"Asian or Pacific Islander, non-Hispanic",226
Hispanic or Latino,1605
"American Indian or Alaska Native, non-Hispanic",2992
Other Race,4421
Unknown,4520
"White, non-Hispanic",13543
