Category,Apache
Total_doses_administered,79110
Total_people_one_dose,35086
Total_people_complete,30233
total_pouluation,35086
Male-65 years and older,3142
Male-55-64 years,2343
Male-45-54 years,1915
Male-20-44 years,4851
Male-Less than 20 years,4817
Female-65 years and older,3808
Female-55-64 years,2549
Female-45-54 years,1967
Female-20-44 years,4759
Female-Less than 20 years,4924
"Black or African American, non-Hispanic",71
"Asian or Pacific Islander, non-Hispanic",166
Hispanic or Latino,667
Unknown,1233
Other Race,1248
"White, non-Hispanic",3936
"American Indian or Alaska Native, non-Hispanic",27765
