Category,Coconino
Total_doses_administered,215727
Total_people_one_dose,94419
Total_people_complete,83806
total_pouluation,94419
Male-65 years and older,8491
Male-55-64 years,6062
Male-45-54 years,5809
Male-20-44 years,17655
Male-Less than 20 years,6942
Female-65 years and older,9502
Female-55-64 years,6743
Female-45-54 years,5780
Female-20-44 years,20143
Female-Less than 20 years,7112
"Black or African American, non-Hispanic",831
"Asian or Pacific Islander, non-Hispanic",1743
Hispanic or Latino,7716
Other Race,8099
Unknown,11288
"American Indian or Alaska Native, non-Hispanic",24230
"White, non-Hispanic",40512
