Category,Cochise
Total_doses_administered,193542
Total_people_one_dose,91776
Total_people_complete,76196
total_pouluation,91776
Male-65 years and older,12083
Male-55-64 years,6033
Male-45-54 years,4844
Male-20-44 years,13118
Male-Less than 20 years,7349
Female-65 years and older,14106
Female-55-64 years,7130
Female-45-54 years,5453
Female-20-44 years,13905
Female-Less than 20 years,7648
"American Indian or Alaska Native, non-Hispanic",394
"Asian or Pacific Islander, non-Hispanic",1600
"Black or African American, non-Hispanic",1721
Unknown,11156
Other Race,12735
Hispanic or Latino,28814
"White, non-Hispanic",35356
