Category,Arizona
Total_doses_administered,10916629
Total_people_complete,4263189
total_pouluation,7189020
Total_people_one_dose,4988620
Male-65 years and older,595119
Male-55-64 years,345030
Male-45-54 years,313528
Male-20-44 years,792456
Male-Less than 20 years,319576
Female-65 years and older,721842
Female-55-64 years,391843
Female-45-54 years,337298
Female-20-44 years,828069
Female-Less than 20 years,324030
"Black or African American, non-Hispanic",154089
"Asian or Pacific Islander, non-Hispanic",191727
"American Indian or Alaska Native, non-Hispanic",225108
Unknown,449052
Other Race,694901
Hispanic or Latino,979341
"White, non-Hispanic",2294402
