Category,Coconino
Total_doses_administered,219934
Total_people_one_dose,98335
Total_people_complete,83430
total_pouluation,98335
Male-65 years and older,9660
Male-55-64 years,6518
Male-45-54 years,5957
Male-20-44 years,17815
Male-Less than 20 years,6734
Female-65 years and older,10858
Female-55-64 years,7286
Female-45-54 years,6014
Female-20-44 years,20238
Female-Less than 20 years,6979
"Black or African American, non-Hispanic",836
"Asian or Pacific Islander, non-Hispanic",1796
Hispanic or Latino,7773
Other Race,8959
Unknown,12281
"American Indian or Alaska Native, non-Hispanic",23619
"White, non-Hispanic",43071
