Category,Gila
Total_doses_administered,59536
Total_people_one_dose,27089
Total_people_complete,23445
total_pouluation,27089
Male-65 years and older,5975
Male-55-64 years,2269
Male-45-54 years,1291
Male-20-44 years,2535
Male-Less than 20 years,880
Female-65 years and older,6362
Female-55-64 years,2662
Female-45-54 years,1428
Female-20-44 years,2702
Female-Less than 20 years,928
"Black or African American, non-Hispanic",97
"Asian or Pacific Islander, non-Hispanic",215
Hispanic or Latino,1533
"American Indian or Alaska Native, non-Hispanic",2911
Other Race,4359
Unknown,4577
"White, non-Hispanic",13397
